iter	Passed	Remaining
0	141	141668
1	142	71208
2	143	47712
3	144	35945
4	145	28881
5	146	24215
6	147	20873
7	148	18388
8	150	16532
9	151	14989
10	153	13784
11	154	12703
12	155	11821
13	156	11030
14	157	10351
15	158	9769
16	159	9240
17	161	8791
18	161	8364
19	162	7976
20	163	7627
21	164	7311
22	165	7039
23	166	6778
24	167	6541
25	168	6318
26	169	6118
27	171	5948
28	172	5765
29	172	5593
30	173	5431
31	174	5286
32	175	5156
33	177	5032
34	178	4922
35	179	4807
36	180	4693
37	181	4588
38	182	4486
39	183	4392
40	183	4298
41	184	4209
42	185	4125
43	187	4067
44	188	3998
45	189	3930
46	190	3869
47	191	3802
48	192	3736
49	193	3672
50	194	3614
51	195	3555
52	195	3497
53	196	3443
54	200	3449
55	203	3427
56	204	3378
57	205	3331
58	206	3286
59	207	3244
60	208	3201
61	208	3159
62	209	3119
63	211	3087
64	212	3058
65	213	3022
66	214	2987
67	214	2945
68	215	2910
69	216	2882
70	217	2849
71	218	2817
72	219	2784
73	220	2755
74	221	2732
75	222	2710
76	224	2686
77	224	2658
78	225	2630
79	226	2603
80	227	2578
81	228	2552
82	228	2527
83	229	2502
84	229	2475
85	230	2453
86	231	2427
87	232	2409
88	233	2390
89	234	2371
90	235	2353
91	236	2334
92	237	2315
93	238	2295
94	238	2275
95	239	2255
96	240	2236
97	241	2219
98	241	2202
99	242	2184
100	243	2171
101	244	2152
102	246	2142
103	246	2127
104	248	2114
105	248	2098
106	249	2082
107	250	2066
108	250	2051
109	251	2037
110	252	2022
111	253	2007
112	253	1992
113	254	1978
114	255	1969
115	257	1961
116	258	1952
117	260	1943
118	261	1932
119	261	1920
120	262	1908
121	264	1900
122	264	1886
123	265	1879
124	267	1872
125	268	1862
126	269	1852
127	270	1839
128	271	1830
129	276	1851
130	277	1842
131	278	1832
132	279	1823
133	281	1818
134	282	1808
135	287	1824
136	289	1821
137	289	1810
138	290	1799
139	291	1788
140	292	1779
141	292	1769
142	293	1758
143	294	1749
144	295	1740
145	295	1730
146	296	1722
147	297	1715
148	299	1709
149	300	1703
150	301	1695
151	302	1686
152	302	1676
153	303	1667
154	304	1659
155	305	1650
156	305	1642
157	306	1633
158	307	1625
159	308	1617
160	309	1612
161	310	1605
162	311	1599
163	312	1594
164	313	1586
165	314	1579
166	315	1571
167	315	1563
168	316	1556
169	317	1549
170	317	1541
171	318	1534
172	319	1527
173	320	1520
174	321	1514
175	322	1508
176	323	1506
177	324	1500
178	325	1494
179	326	1487
180	326	1479
181	327	1472
182	328	1467
183	329	1460
184	330	1454
185	330	1447
186	331	1441
187	332	1435
188	333	1430
189	334	1425
190	335	1421
191	336	1416
192	337	1410
193	338	1404
194	339	1400
195	339	1394
196	340	1388
197	341	1382
198	342	1376
199	342	1371
200	344	1367
201	346	1368
202	348	1367
203	349	1363
204	350	1357
