iter	Passed	Remaining
0	141	141348
1	142	70962
2	142	47484
3	143	35747
4	144	28734
5	145	24041
6	145	20676
7	146	18158
8	147	16199
9	147	14629
10	148	13344
11	149	12272
12	149	11367
13	150	10620
14	151	9968
15	152	9379
16	153	8857
17	153	8390
18	154	7974
19	155	7597
20	155	7256
21	156	6948
22	156	6667
23	157	6409
24	158	6171
25	158	5949
26	159	5745
27	160	5555
28	160	5381
29	161	5216
30	161	5062
31	162	4918
32	163	4784
33	163	4657
34	164	4541
35	165	4430
36	166	4336
37	167	4239
38	168	4143
39	168	4050
40	169	3963
41	170	3880
42	170	3800
43	171	3723
44	172	3651
45	172	3582
46	173	3515
47	173	3449
48	175	3399
49	175	3343
50	176	3287
51	177	3232
52	177	3179
53	178	3128
54	179	3079
55	179	3032
56	180	2986
57	181	2943
58	181	2901
59	182	2858
60	183	2818
61	183	2780
62	184	2742
63	185	2707
64	185	2672
65	186	2638
66	187	2605
67	187	2576
68	189	2554
69	190	2526
70	190	2497
71	191	2468
72	192	2440
73	192	2413
74	193	2386
75	194	2360
76	194	2334
77	195	2308
78	195	2284
79	196	2261
80	197	2238
81	198	2216
82	198	2192
83	199	2171
84	199	2150
85	200	2129
86	201	2109
87	201	2090
88	202	2074
89	203	2059
90	204	2043
91	205	2027
92	206	2018
93	207	2001
94	208	1985
95	209	1969
96	209	1954
97	210	1939
98	211	1923
99	212	1908
100	212	1893
101	213	1878
102	214	1864
103	214	1849
104	215	1834
105	215	1820
106	216	1806
107	217	1794
108	217	1781
109	219	1772
110	219	1760
111	220	1751
112	221	1738
113	222	1725
114	222	1713
115	223	1701
116	223	1689
117	224	1677
118	225	1666
119	225	1654
120	226	1643
121	226	1631
122	227	1621
123	228	1610
124	228	1600
125	229	1589
126	229	1579
127	230	1569
128	231	1560
129	231	1550
130	232	1542
131	233	1535
132	234	1527
133	234	1518
134	235	1509
135	236	1500
136	236	1491
137	237	1483
138	237	1474
139	238	1465
140	239	1457
141	239	1448
142	240	1440
143	241	1432
144	241	1424
145	242	1416
146	242	1409
147	243	1401
148	244	1393
149	244	1386
150	245	1378
151	245	1371
152	246	1365
153	247	1358
154	247	1351
155	248	1346
156	249	1340
157	250	1333
158	250	1326
159	251	1319
160	251	1311
161	252	1305
162	252	1298
163	253	1292
164	254	1286
165	254	1279
166	255	1273
167	255	1267
168	256	1260
169	257	1255
170	257	1249
171	258	1243
172	258	1237
173	259	1231
174	260	1225
175	260	1220
176	261	1217
177	262	1212
178	263	1206
179	263	1201
180	264	1195
181	264	1190
182	265	1185
183	266	1180
184	266	1174
185	267	1170
186	267	1164
187	268	1159
188	269	1154
189	269	1149
190	270	1144
191	270	1140
192	271	1135
193	272	1130
194	272	1125
195	273	1121
196	273	1116
197	274	1112
198	275	1107
199	275	1103
200	276	1099
201	277	1096
202	278	1092
203	279	1088
204	279	1084
205	280	1079
206	280	1075
207	281	1071
208	281	1067
209	282	1062
210	283	1058
211	283	1054
212	284	1050
213	284	1046
214	285	1042
215	286	1038
216	286	1034
217	287	1030
218	287	1026
219	288	1022
220	289	1019
221	289	1015
222	290	1011
223	291	1009
224	291	1005
225	292	1003
226	293	999
227	294	995
228	294	992
229	295	988
230	296	985
231	296	981
232	297	978
233	297	974
234	298	971
235	299	967
236	299	964
237	300	961
238	300	957
239	301	954
240	301	950
241	302	947
242	303	944
243	303	941
244	304	937
245	304	934
246	305	931
247	306	928
248	306	925
249	307	923
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	313	893
260	314	890
261	315	887
262	315	884
263	316	881
264	316	878
265	317	875
266	318	873
267	318	870
268	319	867
269	319	864
270	320	863
271	321	860
272	322	858
273	322	855
274	323	852
275	324	850
276	324	847
277	325	844
278	325	842
279	326	839
280	327	836
281	327	834
282	328	831
283	328	828
284	329	826
285	329	823
286	330	821
287	331	819
288	332	816
289	332	814
290	333	811
291	333	809
292	334	807
293	335	804
294	335	802
295	337	801
296	337	799
297	338	797
298	338	794
299	339	792
300	340	789
301	340	787
302	341	785
303	341	782
304	342	780
305	343	778
306	343	775
307	344	773
308	344	771
309	345	769
310	346	766
311	346	764
312	347	762
313	347	760
314	348	757
315	349	755
316	349	753
317	350	752
318	351	750
319	352	748
320	352	746
321	353	744
322	353	741
323	354	739
324	355	737
325	355	735
326	356	733
327	356	731
328	357	729
329	358	727
330	358	725
331	359	723
332	359	720
333	360	718
334	361	716
335	361	714
336	362	712
337	362	710
338	363	708
339	364	706
340	364	704
341	365	703
342	367	703
343	368	701
344	368	700
345	369	698
346	370	697
347	371	695
348	371	693
349	372	691
350	372	689
351	373	687
352	374	685
353	374	683
354	375	681
355	375	679
356	376	677
357	376	676
358	377	674
359	378	672
360	378	670
361	379	668
362	380	666
363	380	665
364	381	664
365	382	662
366	383	660
367	383	658
368	384	657
369	384	655
370	385	653
371	386	651
372	386	650
373	387	648
374	387	646
375	388	644
376	389	642
377	389	641
378	390	639
379	390	637
380	391	635
381	391	634
382	392	632
383	393	630
384	393	629
385	394	627
386	395	626
387	396	625
388	397	623
389	397	621
390	398	620
391	398	618
392	399	616
393	399	615
394	400	613
395	401	611
396	401	610
397	402	608
398	402	606
399	403	605
400	404	603
401	404	602
402	405	600
403	405	598
404	406	597
405	407	595
406	407	594
407	408	592
408	408	590
409	409	589
410	410	588
411	411	586
412	412	585
413	412	584
414	413	582
415	413	581
416	414	579
417	415	578
418	415	576
419	416	574
420	416	573
421	417	571
422	418	570
423	418	568
424	419	567
425	419	565
426	420	564
427	421	562
428	421	561
429	422	559
430	422	558
431	423	556
432	424	555
433	424	553
434	425	552
435	426	551
436	427	550
437	427	548
438	428	547
439	428	545
440	429	544
441	430	542
442	430	541
443	431	539
444	431	538
445	432	537
446	432	535
447	433	534
448	434	532
449	434	531
450	435	530
451	436	528
452	436	527
453	437	525
454	437	524
455	438	523
456	439	521
457	439	520
458	440	519
459	441	518
460	442	516
461	442	515
462	443	514
463	443	512
464	444	511
465	445	510
466	445	508
467	446	507
468	446	506
469	447	504
470	448	503
471	448	502
472	449	500
473	449	499
474	450	497
475	451	496
476	451	495
477	452	494
478	453	492
479	453	491
480	454	490
481	455	489
482	456	488
483	456	486
484	457	485
485	458	484
486	458	483
487	459	481
488	459	480
489	460	479
490	461	478
491	461	476
492	462	475
493	462	474
494	463	472
495	464	471
496	464	470
497	465	469
498	465	467
499	466	466
500	467	465
501	467	463
502	468	462
503	468	461
504	469	460
505	470	459
506	471	458
507	471	457
508	472	455
509	473	454
510	473	453
511	474	452
512	474	450
513	475	449
514	476	448
515	476	447
516	477	446
517	478	444
518	478	443
519	479	442
520	479	441
521	480	439
522	480	438
523	481	437
524	482	436
525	482	434
526	483	433
527	484	432
528	485	432
529	485	430
530	486	429
531	487	428
532	487	427
533	488	426
534	488	424
535	489	423
536	490	422
537	490	421
538	491	420
539	492	419
540	492	417
541	493	416
542	493	415
543	494	414
544	494	413
545	495	412
546	496	410
547	496	409
548	497	408
549	497	407
550	498	406
551	499	405
552	500	404
553	501	403
554	501	402
555	502	401
556	503	400
557	503	399
558	504	398
559	505	397
560	506	396
561	507	395
562	508	394
563	508	393
564	509	392
565	510	391
566	510	390
567	511	388
568	512	387
569	512	386
570	513	385
571	515	385
572	517	385
573	517	384
574	518	383
575	519	382
576	520	381
577	520	380
578	521	379
579	522	378
580	523	377
581	523	376
582	524	375
583	525	374
584	526	373
585	527	372
586	528	371
587	528	370
588	529	369
589	531	369
590	531	368
591	532	367
592	533	365
593	533	364
594	534	363
595	534	362
596	535	361
597	536	360
598	536	359
599	537	358
600	537	357
601	538	355
602	538	354
603	539	353
604	540	352
605	540	351
606	541	350
607	541	349
608	542	348
609	543	347
610	543	346
611	544	345
612	545	344
613	546	343
614	547	342
615	547	341
616	548	340
617	548	339
618	549	338
619	550	337
620	550	336
621	551	334
622	551	333
623	552	332
624	552	331
625	553	330
626	554	329
627	554	328
628	555	327
629	555	326
630	556	325
631	557	324
632	557	323
633	558	322
634	559	321
635	559	320
636	560	319
637	561	318
638	562	317
639	562	316
640	563	315
641	564	314
642	564	313
643	565	312
644	565	311
645	566	310
646	567	309
647	567	308
648	568	307
649	568	306
650	569	305
651	569	304
652	570	303
653	571	302
654	571	301
655	572	300
656	572	299
